store_id,sku,ts,qty_sold,price,channel
STORE_001,SKU_003,2024-01-01 12:51:56,3,5.99,in-store
STORE_001,SKU_008,2024-01-01 13:36:20,1,9.99,in-store
STORE_002,SKU_001,2024-01-01 19:57:00,1,12.99,in-store
STORE_003,SKU_004,2024-01-01 12:09:41,1,49.99,in-store
STORE_003,SKU_004,2024-01-01 15:54:35,1,49.99,in-store
STORE_003,SKU_004,2024-01-01 10:53:46,1,49.99,online
STORE_003,SKU_008,2024-01-01 13:10:23,1,9.99,in-store
STORE_003,SKU_008,2024-01-01 11:13:07,1,9.99,online
STORE_004,SKU_004,2024-01-01 19:24:58,1,49.99,online
STORE_004,SKU_008,2024-01-01 09:36:22,1,9.99,in-store
STORE_004,SKU_008,2024-01-01 13:23:16,1,9.99,online
STORE_004,SKU_008,2024-01-01 17:22:15,1,9.99,online
STORE_002,SKU_001,2024-01-02 15:49:49,1,12.99,online
STORE_002,SKU_001,2024-01-02 19:46:50,1,12.99,online
STORE_003,SKU_007,2024-01-02 13:47:27,2,32.2,in-store
STORE_004,SKU_002,2024-01-02 14:28:54,2,24.5,online
STORE_004,SKU_002,2024-01-02 10:52:01,2,24.5,in-store
STORE_004,SKU_009,2024-01-02 10:39:09,1,115.0,online
STORE_005,SKU_001,2024-01-02 12:01:40,1,12.99,in-store
STORE_001,SKU_010,2024-01-03 16:00:01,2,18.5,in-store
STORE_002,SKU_005,2024-01-03 11:57:17,1,8.75,in-store
STORE_003,SKU_005,2024-01-03 12:13:52,1,8.75,online
STORE_003,SKU_005,2024-01-03 15:23:32,1,8.75,in-store
STORE_003,SKU_008,2024-01-03 11:12:33,1,9.99,in-store
STORE_003,SKU_008,2024-01-03 16:50:27,1,9.99,in-store
STORE_003,SKU_008,2024-01-03 10:17:50,1,9.99,in-store
STORE_004,SKU_002,2024-01-03 10:09:42,2,24.5,in-store
STORE_004,SKU_002,2024-01-03 16:29:27,2,24.5,online
STORE_004,SKU_002,2024-01-03 13:32:26,2,24.5,in-store
STORE_004,SKU_005,2024-01-03 08:15:28,1,8.75,in-store
STORE_004,SKU_005,2024-01-03 08:11:26,1,8.75,online
STORE_001,SKU_003,2024-01-04 10:14:38,3,5.99,in-store
STORE_001,SKU_003,2024-01-04 08:02:08,3,5.99,online
STORE_001,SKU_003,2024-01-04 15:53:52,3,5.99,in-store
STORE_001,SKU_004,2024-01-04 15:13:30,1,49.99,online
STORE_001,SKU_007,2024-01-04 12:09:25,3,32.2,in-store
STORE_001,SKU_007,2024-01-04 18:31:48,3,32.2,in-store
STORE_002,SKU_008,2024-01-04 18:42:29,1,9.99,in-store
STORE_002,SKU_008,2024-01-04 14:28:59,1,9.99,in-store
STORE_003,SKU_005,2024-01-04 12:19:48,1,8.75,online
STORE_003,SKU_005,2024-01-04 17:51:52,1,8.75,online
STORE_003,SKU_005,2024-01-04 21:41:41,1,8.75,in-store
STORE_004,SKU_004,2024-01-04 19:49:31,1,49.99,online
STORE_005,SKU_005,2024-01-04 11:39:24,1,8.75,in-store
STORE_005,SKU_005,2024-01-04 16:25:39,1,8.75,in-store
STORE_005,SKU_005,2024-01-04 16:11:43,1,8.75,in-store
STORE_002,SKU_002,2024-01-05 19:12:23,2,24.5,in-store
STORE_002,SKU_002,2024-01-05 12:50:35,2,24.5,online
STORE_002,SKU_008,2024-01-05 19:20:50,1,9.99,in-store
STORE_002,SKU_008,2024-01-05 19:36:33,1,9.99,in-store
STORE_002,SKU_008,2024-01-05 13:22:30,1,9.99,online
STORE_002,SKU_009,2024-01-05 21:20:33,1,115.0,in-store
STORE_002,SKU_009,2024-01-05 17:32:58,1,115.0,online
STORE_003,SKU_004,2024-01-05 21:15:18,1,49.99,in-store
STORE_003,SKU_004,2024-01-05 12:48:18,1,49.99,in-store
STORE_003,SKU_004,2024-01-05 16:51:46,1,49.99,online
STORE_005,SKU_008,2024-01-05 19:42:21,1,9.99,online
STORE_005,SKU_008,2024-01-05 12:28:46,1,9.99,in-store
STORE_005,SKU_008,2024-01-05 09:57:53,1,9.99,in-store
STORE_001,SKU_001,2024-01-06 21:40:24,2,12.99,online
STORE_001,SKU_001,2024-01-06 11:36:06,2,12.99,in-store
STORE_001,SKU_001,2024-01-06 13:38:38,2,12.99,online
STORE_001,SKU_003,2024-01-06 10:25:06,5,5.99,online
STORE_001,SKU_003,2024-01-06 21:15:14,5,5.99,in-store
STORE_001,SKU_005,2024-01-06 18:59:52,1,8.75,in-store
STORE_001,SKU_007,2024-01-06 14:50:45,5,32.2,in-store
STORE_001,SKU_007,2024-01-06 20:30:57,5,32.2,in-store
STORE_001,SKU_007,2024-01-06 11:23:18,5,32.2,online
STORE_001,SKU_008,2024-01-06 08:42:00,1,9.99,online
STORE_001,SKU_008,2024-01-06 11:15:53,1,9.99,in-store
STORE_001,SKU_008,2024-01-06 09:13:06,1,9.99,online
STORE_001,SKU_010,2024-01-06 08:29:28,3,18.5,online
STORE_001,SKU_010,2024-01-06 16:08:33,3,18.5,in-store
STORE_002,SKU_004,2024-01-06 21:54:52,1,49.99,online
STORE_002,SKU_004,2024-01-06 11:01:04,1,49.99,in-store
STORE_002,SKU_004,2024-01-06 10:02:24,1,49.99,online
STORE_002,SKU_005,2024-01-06 14:11:34,1,8.75,online
STORE_002,SKU_005,2024-01-06 17:28:19,1,8.75,in-store
STORE_003,SKU_004,2024-01-06 09:43:00,1,49.99,in-store
STORE_003,SKU_010,2024-01-06 11:58:47,3,18.5,in-store
STORE_003,SKU_010,2024-01-06 10:43:10,3,18.5,in-store
STORE_003,SKU_010,2024-01-06 08:35:29,3,18.5,online
STORE_005,SKU_006,2024-01-06 10:46:56,2,,online
STORE_005,SKU_006,2024-01-06 08:43:00,2,15.0,in-store
STORE_001,SKU_002,2024-01-07 08:45:05,4,24.5,online
STORE_001,SKU_003,2024-01-07 17:30:47,4,5.99,in-store
STORE_001,SKU_004,2024-01-07 12:56:07,1,49.99,online
STORE_001,SKU_004,2024-01-07 10:39:34,1,49.99,in-store
STORE_001,SKU_004,2024-01-07 16:58:42,1,49.99,in-store
STORE_001,SKU_005,2024-01-07 10:18:31,2,8.75,online
STORE_002,SKU_004,2024-01-07 11:26:43,1,49.99,online
STORE_003,SKU_001,2024-01-07 19:57:42,1,12.99,in-store
STORE_003,SKU_001,2024-01-07 12:08:45,1,12.99,in-store
STORE_003,SKU_007,2024-01-07 11:18:13,3,32.2,in-store
STORE_003,SKU_007,2024-01-07 15:50:00,3,32.2,online
STORE_003,SKU_010,2024-01-07 08:13:14,3,18.5,online
STORE_004,SKU_002,2024-01-07 20:48:39,2,24.5,online
STORE_004,SKU_008,2024-01-07 11:18:44,1,9.99,online
STORE_004,SKU_008,2024-01-07 11:10:04,1,9.99,in-store
STORE_004,SKU_008,2024-01-07 14:29:10,1,9.99,online
STORE_005,SKU_001,2024-01-07 14:24:30,1,12.99,in-store
STORE_005,SKU_001,2024-01-07 19:17:17,1,12.99,in-store
STORE_005,SKU_002,2024-01-07 15:59:28,3,24.5,online
STORE_005,SKU_003,2024-01-07 12:26:01,3,5.99,online
STORE_005,SKU_008,2024-01-07 21:19:30,1,9.99,online
STORE_005,SKU_008,2024-01-07 09:51:13,1,9.99,in-store
STORE_005,SKU_010,2024-01-07 14:46:15,2,18.5,online
STORE_001,SKU_002,2024-01-08 20:07:01,3,24.5,in-store
STORE_001,SKU_002,2024-01-08 13:38:32,3,24.5,in-store
STORE_001,SKU_002,2024-01-08 12:03:33,3,24.5,online
STORE_001,SKU_010,2024-01-08 11:37:24,2,18.5,in-store
STORE_001,SKU_010,2024-01-08 18:43:27,2,18.5,online
STORE_002,SKU_009,2024-01-08 19:54:37,1,115.0,in-store
STORE_003,SKU_004,2024-01-08 17:17:53,1,49.99,online
STORE_003,SKU_004,2024-01-08 21:54:21,1,49.99,in-store
STORE_003,SKU_004,2024-01-08 13:32:17,1,49.99,online
STORE_003,SKU_010,2024-01-08 20:04:37,2,18.5,in-store
STORE_003,SKU_010,2024-01-08 17:22:20,2,18.5,in-store
STORE_003,SKU_010,2024-01-08 12:28:11,,18.5,online
STORE_004,SKU_001,2024-01-08 08:34:14,1,12.99,in-store
STORE_004,SKU_001,2024-01-08 15:22:52,1,12.99,in-store
STORE_004,SKU_008,2024-01-08 20:47:00,1,9.99,online
STORE_005,SKU_008,2024-01-08 18:05:27,1,9.99,in-store
STORE_001,SKU_007,2024-01-09 11:09:47,3,32.2,online
STORE_003,SKU_001,2024-01-09 21:33:48,1,12.99,online
STORE_003,SKU_001,2024-01-09 17:09:58,1,12.99,in-store
STORE_003,SKU_001,2024-01-09 08:14:02,1,12.99,online
STORE_003,SKU_004,2024-01-09 10:36:22,1,49.99,in-store
STORE_003,SKU_004,2024-01-09 17:20:08,1,49.99,online
STORE_003,SKU_004,2024-01-09 18:32:44,1,49.99,online
