store_id,sku,date,qty_sold,revenue,avg_price,avg_shelf_qty,sentiment_score,graph_co_stock_flag,graph_substitute_available
STORE_001,SKU_001,2024-01-01,0,0.0,12.99,30.63,-0.3333,False,False
STORE_001,SKU_001,2024-01-02,0,0.0,12.99,29.21,-0.3333,False,False
STORE_001,SKU_001,2024-01-03,0,0.0,12.99,26.24,-0.3333,False,False
STORE_001,SKU_001,2024-01-04,0,0.0,12.99,22.62,-0.3333,False,False
STORE_001,SKU_001,2024-01-05,0,0.0,12.99,32.92,-0.3333,False,False
STORE_001,SKU_001,2024-01-06,6,77.94,12.99,27.23,-0.3333,False,False
STORE_001,SKU_001,2024-01-07,0,0.0,12.99,30.66,-0.3333,False,False
STORE_001,SKU_001,2024-01-08,0,0.0,12.99,30.72,-0.3333,False,False
STORE_001,SKU_001,2024-01-09,0,0.0,12.99,32.52,-0.3333,False,False
STORE_001,SKU_001,2024-01-10,0,0.0,12.99,24.13,-0.3333,False,False
STORE_001,SKU_001,2024-01-11,0,0.0,12.99,24.66,-0.3333,False,False
STORE_001,SKU_001,2024-01-12,0,0.0,12.99,29.47,-0.3333,False,False
STORE_001,SKU_001,2024-01-13,0,0.0,12.99,30.44,-0.3333,False,False
STORE_001,SKU_001,2024-01-14,6,77.94,12.99,32.84,-0.3333,False,False
STORE_001,SKU_001,2024-01-15,2,25.98,12.99,32.93,-0.3333,False,False
STORE_001,SKU_001,2024-01-16,0,0.0,12.99,27.38,-0.3333,False,False
STORE_001,SKU_001,2024-01-17,0,0.0,12.99,22.31,-0.3333,False,False
STORE_001,SKU_001,2024-01-18,0,0.0,12.99,27.12,-0.3333,False,False
STORE_001,SKU_001,2024-01-19,2,25.98,12.99,28.38,-0.3333,False,False
STORE_001,SKU_001,2024-01-20,0,0.0,12.99,28.02,-0.3333,False,False
STORE_001,SKU_001,2024-01-21,0,0.0,12.99,31.75,-0.3333,False,False
STORE_001,SKU_001,2024-01-22,0,0.0,12.99,32.59,-0.3333,False,False
STORE_001,SKU_001,2024-01-23,0,0.0,12.99,32.89,-0.3333,False,False
STORE_001,SKU_001,2024-01-24,0,0.0,12.99,26.69,-0.3333,False,False
STORE_001,SKU_001,2024-01-25,2,25.98,12.99,23.46,-0.3333,False,False
